customernumber,event_name,category,subcategory
2381,hesap_acma,Banking,Account Opening
2327,hesap_acma,Banking,Transfers
3288,fx_market,Finance,Forex
6375,borsa,Finance,Forex
2763,hesap_acma,Banking,Account Opening
9123,borsa,Finance,Stock Market
2662,fx_market,Finance,Loans
9320,kredi_basvuru,Finance,Loans
2578,borsa,Finance,Forex
5853,kredi_basvuru,Finance,Stock Market
7944,borsa,Finance,Loans
9898,kredi_basvuru,Finance,Forex
4159,hesap_acma,Banking,Account Opening
2328,kredi_basvuru,Finance,Stock Market
7624,fx_market,Finance,Forex
4463,fx_market,Finance,Stock Market
4070,kredi_basvuru,Finance,Stock Market
5201,borsa,Finance,Stock Market
8333,fx_market,Finance,Forex
2029,kredi_basvuru,Finance,Stock Market
5570,fx_market,Finance,Forex
5016,fx_market,Finance,Forex
8253,hesap_acma,Banking,Account Opening
7005,borsa,Finance,Forex
7301,fx_market,Finance,Loans
3845,borsa,Finance,Loans
3842,hesap_acma,Banking,Savings
5924,fx_market,Finance,Stock Market
9955,borsa,Finance,Stock Market
7222,kredi_basvuru,Finance,Stock Market
1680,fx_market,Finance,Forex
3347,borsa,Finance,Forex
6086,kredi_basvuru,Finance,Forex
8080,kredi_basvuru,Finance,Stock Market
9569,hesap_acma,Banking,Transfers
3176,borsa,Finance,Stock Market
4814,hesap_acma,Banking,Account Opening
8167,fx_market,Finance,Forex
3047,kredi_basvuru,Finance,Forex
1685,hesap_acma,Banking,Account Opening
3601,fx_market,Finance,Stock Market
5385,borsa,Finance,Forex
6386,hesap_acma,Banking,Savings
5613,borsa,Finance,Stock Market
3229,fx_market,Finance,Forex
8281,borsa,Finance,Forex
4167,kredi_basvuru,Finance,Forex
9371,fx_market,Finance,Loans
2259,borsa,Finance,Forex
3102,fx_market,Finance,Stock Market
4061,kredi_basvuru,Finance,Loans
2297,borsa,Finance,Loans
3741,fx_market,Finance,Stock Market
3302,hesap_acma,Banking,Savings
9077,kredi_basvuru,Finance,Stock Market
8281,fx_market,Finance,Loans
8359,kredi_basvuru,Finance,Loans
9937,kredi_basvuru,Finance,Loans
7048,kredi_basvuru,Finance,Forex
9590,hesap_acma,Banking,Account Opening
7279,borsa,Finance,Loans
2291,kredi_basvuru,Finance,Stock Market
9944,borsa,Finance,Loans
7997,hesap_acma,Banking,Transfers
1965,borsa,Finance,Forex
7944,hesap_acma,Banking,Transfers
7617,borsa,Finance,Stock Market
7823,kredi_basvuru,Finance,Stock Market
8100,hesap_acma,Banking,Transfers
4650,borsa,Finance,Forex
8678,hesap_acma,Banking,Account Opening
1349,kredi_basvuru,Finance,Forex
7776,kredi_basvuru,Finance,Stock Market
1636,hesap_acma,Banking,Account Opening
6280,borsa,Finance,Stock Market
9063,kredi_basvuru,Finance,Loans
6451,hesap_acma,Banking,Account Opening
7160,fx_market,Finance,Loans
5533,borsa,Finance,Forex
7423,borsa,Finance,Loans
3648,fx_market,Finance,Stock Market
9004,borsa,Finance,Forex
2534,borsa,Finance,Loans
7246,fx_market,Finance,Forex
6526,fx_market,Finance,Stock Market
8496,fx_market,Finance,Stock Market
9985,fx_market,Finance,Forex
8673,hesap_acma,Banking,Savings
9748,borsa,Finance,Loans
2023,borsa,Finance,Stock Market
3135,kredi_basvuru,Finance,Loans
1678,hesap_acma,Banking,Savings
7465,hesap_acma,Banking,Savings
5480,kredi_basvuru,Finance,Forex
8804,borsa,Finance,Stock Market
2162,fx_market,Finance,Stock Market
8147,fx_market,Finance,Stock Market
4902,borsa,Finance,Loans
7420,kredi_basvuru,Finance,Loans
6447,kredi_basvuru,Finance,Stock Market
1539,kredi_basvuru,Finance,Forex
8599,hesap_acma,Banking,Transfers
6105,hesap_acma,Banking,Savings
7320,hesap_acma,Banking,Savings
7096,borsa,Finance,Forex
3862,hesap_acma,Banking,Savings
3830,kredi_basvuru,Finance,Forex
7448,fx_market,Finance,Forex
6665,hesap_acma,Banking,Account Opening
7511,kredi_basvuru,Finance,Loans
3168,fx_market,Finance,Forex
