customernumber,category,subcategory,interest_count
7686,Finance,Forex,4
7628,Finance,Loans,4
6890,Finance,Loans,4
6455,Finance,Forex,4
1800,Finance,Loans,4
2192,Finance,Forex,4
4669,Finance,Stock Market,3
9865,Finance,Stock Market,3
6440,Finance,Forex,3
7113,Finance,Loans,3
6422,Finance,Forex,3
8147,Finance,Stock Market,3
7948,Finance,Stock Market,3
6100,Finance,Loans,3
4776,Finance,Forex,3
4282,Finance,Stock Market,3
5052,Finance,Loans,3
8721,Finance,Forex,3
1068,Finance,Forex,3
8359,Finance,Loans,3
3741,Finance,Forex,3
4503,Finance,Forex,3
1831,Finance,Stock Market,3
6904,Finance,Loans,3
3231,Finance,Loans,3
8640,Finance,Stock Market,3
5570,Finance,Forex,3
1489,Banking,Transfers,3
6799,Finance,Forex,3
8683,Finance,Stock Market,3
2896,Finance,Forex,3
4193,Finance,Forex,3
1613,Finance,Stock Market,3
5672,Banking,Transfers,3
4935,Finance,Forex,3
6121,Finance,Loans,3
9569,Banking,Transfers,3
2382,Finance,Loans,3
1976,Finance,Stock Market,3
1303,Banking,Account Opening,3
6139,Finance,Forex,3
2441,Finance,Loans,3
5686,Finance,Stock Market,3
3812,Finance,Loans,3
5519,Finance,Forex,3
6592,Finance,Stock Market,3
2894,Finance,Forex,3
3681,Finance,Loans,3
8950,Finance,Stock Market,3
1407,Finance,Stock Market,3
6170,Finance,Stock Market,3
7679,Finance,Loans,3
3989,Finance,Forex,3
7670,Finance,Forex,3
6673,Banking,Account Opening,3
3165,Banking,Savings,3
8499,Finance,Forex,3
3535,Finance,Loans,3
8837,Finance,Loans,3
8404,Finance,Forex,3
2188,Finance,Forex,3
5937,Finance,Forex,3
6198,Finance,Loans,3
8110,Finance,Forex,3
6375,Finance,Stock Market,3
6324,Finance,Loans,3
3636,Finance,Stock Market,3
1732,Finance,Stock Market,3
4046,Finance,Forex,3
2243,Finance,Loans,2
8860,Banking,Account Opening,2
8719,Finance,Stock Market,2
6782,Finance,Forex,2
6782,Finance,Stock Market,2
6784,Finance,Forex,2
4615,Finance,Stock Market,2
8886,Finance,Loans,2
2255,Finance,Loans,2
4633,Finance,Forex,2
