customernumber,Top Categories,Total Interactions
1003,"[['Finance', 'Forex']]",1
1005,"[['Finance', 'Stock Market']]",1
1006,"[['Finance', 'Loans']]",1
1007,"[['Finance', 'Forex'], ['Finance', 'Stock Market']]",3
1008,"[['Banking', 'Transfers'], ['Finance', 'Stock Market']]",2
1009,"[['Finance', 'Forex'], ['Finance', 'Loans']]",2
1010,"[['Finance', 'Stock Market']]",1
1012,"[['Banking', 'Account Opening'], ['Banking', 'Savings'], ['Finance', 'Forex']]",4
1013,"[['Finance', 'Forex']]",1
1014,"[['Finance', 'Loans']]",1
1015,"[['Finance', 'Loans'], ['Finance', 'Stock Market']]",2
1017,"[['Banking', 'Savings'], ['Finance', 'Stock Market']]",2
1018,"[['Finance', 'Stock Market']]",1
1021,"[['Finance', 'Loans'], ['Finance', 'Stock Market']]",2
1025,"[['Finance', 'Stock Market'], ['Finance', 'Loans']]",3
1027,"[['Banking', 'Account Opening'], ['Banking', 'Savings']]",2
1028,"[['Finance', 'Stock Market'], ['Banking', 'Savings'], ['Finance', 'Loans']]",4
1030,"[['Finance', 'Forex']]",1
1031,"[['Finance', 'Loans'], ['Finance', 'Stock Market']]",3
1032,"[['Finance', 'Loans']]",1
1034,"[['Finance', 'Loans'], ['Finance', 'Stock Market']]",2
1035,"[['Banking', 'Account Opening']]",1
1036,"[['Banking', 'Savings']]",1
1037,"[['Banking', 'Account Opening']]",1
1038,"[['Banking', 'Transfers']]",1
1039,"[['Finance', 'Loans']]",1
1043,"[['Finance', 'Forex']]",1
1045,"[['Finance', 'Forex']]",1
1046,"[['Banking', 'Transfers'], ['Finance', 'Loans']]",2
1047,"[['Banking', 'Transfers']]",1
1049,"[['Finance', 'Stock Market']]",1
1052,"[['Finance', 'Forex'], ['Finance', 'Loans']]",2
1054,"[['Banking', 'Account Opening'], ['Finance', 'Loans']]",2
1055,"[['Banking', 'Transfers'], ['Finance', 'Loans']]",2
1056,"[['Finance', 'Stock Market']]",1
1057,"[['Finance', 'Forex']]",1
1058,"[['Finance', 'Loans']]",1
1059,"[['Finance', 'Stock Market']]",1
1060,"[['Finance', 'Loans'], ['Finance', 'Forex']]",3
1062,"[['Finance', 'Stock Market']]",1
1063,"[['Banking', 'Account Opening'], ['Finance', 'Forex']]",2
1064,"[['Finance', 'Forex']]",1
1066,"[['Finance', 'Forex']]",1
1068,"[['Finance', 'Forex'], ['Banking', 'Transfers'], ['Finance', 'Stock Market']]",6
1069,"[['Banking', 'Account Opening']]",1
1071,"[['Banking', 'Account Opening'], ['Finance', 'Stock Market']]",2
1074,"[['Banking', 'Transfers']]",1
1075,"[['Finance', 'Forex']]",1
1077,"[['Finance', 'Stock Market']]",1
1078,"[['Finance', 'Loans']]",1
1082,"[['Banking', 'Transfers'], ['Finance', 'Forex']]",2
1084,"[['Banking', 'Transfers']]",1
1085,"[['Finance', 'Loans']]",1
1087,"[['Banking', 'Transfers'], ['Finance', 'Stock Market']]",2
1088,"[['Finance', 'Loans']]",1
1089,"[['Finance', 'Stock Market']]",1
1090,"[['Banking', 'Savings']]",1
1091,"[['Finance', 'Forex']]",1
1094,"[['Finance', 'Stock Market']]",1
1095,"[['Finance', 'Forex']]",1
1096,"[['Finance', 'Loans']]",1
1098,"[['Finance', 'Stock Market']]",2
1099,"[['Banking', 'Savings']]",1
1100,"[['Finance', 'Loans']]",1
1102,"[['Finance', 'Stock Market']]",1
1103,"[['Finance', 'Loans']]",1
1104,"[['Finance', 'Loans'], ['Finance', 'Stock Market']]",2
1106,"[['Finance', 'Forex'], ['Finance', 'Loans']]",2
1107,"[['Finance', 'Loans'], ['Finance', 'Stock Market']]",2
1108,"[['Banking', 'Savings'], ['Finance', 'Stock Market']]",2
1110,"[['Finance', 'Forex'], ['Finance', 'Loans']]",2
1113,"[['Finance', 'Loans']]",2
1115,"[['Banking', 'Transfers'], ['Finance', 'Forex'], ['Finance', 'Stock Market']]",3
1116,"[['Banking', 'Transfers'], ['Finance', 'Stock Market']]",2
1117,"[['Finance', 'Forex']]",1
1118,"[['Finance', 'Forex'], ['Finance', 'Loans']]",2
1119,"[['Finance', 'Stock Market']]",1
1120,"[['Finance', 'Loans']]",1
1121,"[['Finance', 'Stock Market']]",1
1122,"[['Finance', 'Forex']]",1
1123,"[['Banking', 'Account Opening'], ['Banking', 'Savings'], ['Finance', 'Forex']]",3
1124,"[['Banking', 'Savings']]",1
1125,"[['Banking', 'Savings'], ['Banking', 'Transfers']]",2
1126,"[['Finance', 'Loans']]",1
1127,"[['Finance', 'Loans'], ['Finance', 'Stock Market']]",2
1129,"[['Finance', 'Stock Market']]",1
1130,"[['Finance', 'Stock Market']]",1
1133,"[['Finance', 'Loans']]",2
1134,"[['Finance', 'Forex'], ['Finance', 'Stock Market']]",2
1135,"[['Finance', 'Forex'], ['Finance', 'Stock Market']]",2
1136,"[['Finance', 'Loans']]",1
1137,"[['Finance', 'Forex'], ['Finance', 'Loans']]",2
1138,"[['Finance', 'Loans']]",1
1139,"[['Finance', 'Forex']]",2
1140,"[['Banking', 'Account Opening'], ['Finance', 'Loans']]",3
1142,"[['Banking', 'Account Opening'], ['Finance', 'Stock Market']]",2
1146,"[['Finance', 'Stock Market'], ['Banking', 'Account Opening']]",3
1147,"[['Finance', 'Forex'], ['Finance', 'Stock Market']]",2
1148,"[['Finance', 'Forex'], ['Finance', 'Stock Market'], ['Banking', 'Savings']]",5
1149,"[['Finance', 'Forex'], ['Finance', 'Loans']]",2
1150,"[['Finance', 'Forex']]",1
1152,"[['Finance', 'Stock Market']]",1
1153,"[['Finance', 'Forex']]",1
1154,"[['Finance', 'Stock Market']]",1
1155,"[['Finance', 'Forex'], ['Finance', 'Loans']]",2
1156,"[['Finance', 'Loans']]",1
1158,"[['Finance', 'Stock Market']]",1
1159,"[['Banking', 'Account Opening'], ['Finance', 'Forex']]",2
1160,"[['Banking', 'Savings']]",1
1161,"[['Finance', 'Loans']]",1
1162,"[['Finance', 'Stock Market']]",1
1163,"[['Banking', 'Savings'], ['Finance', 'Forex']]",2
1164,"[['Finance', 'Loans'], ['Finance', 'Stock Market']]",2
1165,"[['Finance', 'Forex'], ['Finance', 'Stock Market']]",2
