user_id,shop_id,items_bought,amount_spent,purchase_date
818,11,6,107,2023-01-01 00:00:00
632,19,2,493,2023-01-01 01:00:00
323,8,4,9,2023-01-01 02:00:00
380,17,9,166,2023-01-01 03:00:00
844,35,4,350,2023-01-01 04:00:00
484,37,2,373,2023-01-01 05:00:00
308,31,5,318,2023-01-01 06:00:00
893,14,1,234,2023-01-01 07:00:00
674,18,6,375,2023-01-01 08:00:00
546,34,9,112,2023-01-01 09:00:00
72,1,3,322,2023-01-01 10:00:00
542,17,7,410,2023-01-01 11:00:00
481,17,2,265,2023-01-01 12:00:00
874,30,4,105,2023-01-01 13:00:00
773,26,4,122,2023-01-01 14:00:00
981,49,9,426,2023-01-01 15:00:00
15,27,2,199,2023-01-01 16:00:00
289,13,5,456,2023-01-01 17:00:00
88,25,4,33,2023-01-01 18:00:00
299,37,5,130,2023-01-01 19:00:00
10,28,5,416,2023-01-01 20:00:00
948,9,6,21,2023-01-01 21:00:00
117,11,5,398,2023-01-01 22:00:00
188,3,1,202,2023-01-01 23:00:00
357,24,3,360,2023-01-02 00:00:00
955,10,9,342,2023-01-02 01:00:00
103,35,6,220,2023-01-02 02:00:00
476,6,5,479,2023-01-02 03:00:00
133,25,1,241,2023-01-02 04:00:00
489,46,8,141,2023-01-02 05:00:00
608,46,5,127,2023-01-02 06:00:00
258,30,7,234,2023-01-02 07:00:00
876,14,8,266,2023-01-02 08:00:00
946,46,9,71,2023-01-02 09:00:00
500,14,3,145,2023-01-02 10:00:00
192,39,8,337,2023-01-02 11:00:00
592,39,8,357,2023-01-02 12:00:00
107,47,2,110,2023-01-02 13:00:00
807,45,5,46,2023-01-02 14:00:00
67,27,1,63,2023-01-02 15:00:00
311,1,5,107,2023-01-02 16:00:00
525,16,1,209,2023-01-02 17:00:00
531,10,5,223,2023-01-02 18:00:00
754,12,7,187,2023-01-02 19:00:00
688,36,4,319,2023-01-02 20:00:00
614,4,6,169,2023-01-02 21:00:00
162,5,6,266,2023-01-02 22:00:00
260,12,7,452,2023-01-02 23:00:00
502,25,4,359,2023-01-03 00:00:00
819,1,9,84,2023-01-03 01:00:00
326,20,3,468,2023-01-03 02:00:00
419,26,2,334,2023-01-03 03:00:00
68,4,1,116,2023-01-03 04:00:00
263,42,3,494,2023-01-03 05:00:00
24,24,5,73,2023-01-03 06:00:00
290,21,3,172,2023-01-03 07:00:00
350,19,6,329,2023-01-03 08:00:00
669,48,7,13,2023-01-03 09:00:00
649,10,9,442,2023-01-03 10:00:00
297,23,2,131,2023-01-03 11:00:00
603,9,8,156,2023-01-03 12:00:00
246,45,3,356,2023-01-03 13:00:00
976,23,8,190,2023-01-03 14:00:00
701,4,3,24,2023-01-03 15:00:00
488,20,3,358,2023-01-03 16:00:00
431,9,6,428,2023-01-03 17:00:00
471,22,2,160,2023-01-03 18:00:00
129,39,2,379,2023-01-03 19:00:00
989,36,9,228,2023-01-03 20:00:00
495,27,2,107,2023-01-03 21:00:00
346,20,3,32,2023-01-03 22:00:00
243,34,1,389,2023-01-03 23:00:00
680,12,8,398,2023-01-04 00:00:00
23,13,4,51,2023-01-04 01:00:00
936,29,6,372,2023-01-04 02:00:00
921,17,1,331,2023-01-04 03:00:00
248,46,7,150,2023-01-04 04:00:00
83,38,2,51,2023-01-04 05:00:00
937,16,6,139,2023-01-04 06:00:00
945,2,2,17,2023-01-04 07:00:00
69,39,3,273,2023-01-04 08:00:00
956,49,5,58,2023-01-04 09:00:00
297,23,8,337,2023-01-04 10:00:00
629,8,2,403,2023-01-04 11:00:00
844,2,9,233,2023-01-04 12:00:00
479,46,6,11,2023-01-04 13:00:00
825,19,8,494,2023-01-04 14:00:00
559,28,5,473,2023-01-04 15:00:00
917,34,3,105,2023-01-04 16:00:00
71,37,6,215,2023-01-04 17:00:00
98,34,9,26,2023-01-04 18:00:00
428,46,4,265,2023-01-04 19:00:00
810,24,9,101,2023-01-04 20:00:00
826,32,1,162,2023-01-04 21:00:00
812,17,9,93,2023-01-04 22:00:00
735,45,7,18,2023-01-04 23:00:00
357,50,7,423,2023-01-05 00:00:00
683,26,5,29,2023-01-05 01:00:00
660,10,7,30,2023-01-05 02:00:00
896,8,1,246,2023-01-05 03:00:00
554,25,8,442,2023-01-05 04:00:00
476,36,6,454,2023-01-05 05:00:00
957,8,6,8,2023-01-05 06:00:00
832,9,5,236,2023-01-05 07:00:00
792,12,9,37,2023-01-05 08:00:00
721,50,1,499,2023-01-05 09:00:00
67,32,4,114,2023-01-05 10:00:00
290,39,3,456,2023-01-05 11:00:00
659,4,7,458,2023-01-05 12:00:00
413,29,1,411,2023-01-05 13:00:00
592,3,4,263,2023-01-05 14:00:00
594,10,6,113,2023-01-05 15:00:00
847,22,1,61,2023-01-05 16:00:00
809,39,7,314,2023-01-05 17:00:00
952,7,2,450,2023-01-05 18:00:00
592,44,2,195,2023-01-05 19:00:00
143,37,5,6,2023-01-05 20:00:00
686,20,3,94,2023-01-05 21:00:00
681,2,9,40,2023-01-05 22:00:00
184,4,5,440,2023-01-05 23:00:00
513,19,8,145,2023-01-06 00:00:00
964,3,3,243,2023-01-06 01:00:00
186,15,2,138,2023-01-06 02:00:00
990,37,1,200,2023-01-06 03:00:00
179,27,7,39,2023-01-06 04:00:00
711,50,4,438,2023-01-06 05:00:00
420,25,4,393,2023-01-06 06:00:00
526,50,5,13,2023-01-06 07:00:00
637,24,4,301,2023-01-06 08:00:00
964,47,5,414,2023-01-06 09:00:00
992,4,2,387,2023-01-06 10:00:00
27,7,1,425,2023-01-06 11:00:00
228,23,5,150,2023-01-06 12:00:00
80,15,1,403,2023-01-06 13:00:00
548,21,4,253,2023-01-06 14:00:00
59,10,4,14,2023-01-06 15:00:00
370,22,7,372,2023-01-06 16:00:00
281,45,7,274,2023-01-06 17:00:00
137,8,9,186,2023-01-06 18:00:00
284,38,4,255,2023-01-06 19:00:00
18,3,9,430,2023-01-06 20:00:00
794,26,2,199,2023-01-06 21:00:00
986,16,9,268,2023-01-06 22:00:00
552,38,2,289,2023-01-06 23:00:00
114,2,7,89,2023-01-07 00:00:00
243,18,2,498,2023-01-07 01:00:00
796,34,6,290,2023-01-07 02:00:00
385,31,7,246,2023-01-07 03:00:00
433,33,9,81,2023-01-07 04:00:00
384,20,1,311,2023-01-07 05:00:00
270,29,6,87,2023-01-07 06:00:00
24,5,6,283,2023-01-07 07:00:00
927,47,2,43,2023-01-07 08:00:00
825,26,2,285,2023-01-07 09:00:00
35,12,5,334,2023-01-07 10:00:00
554,35,3,496,2023-01-07 11:00:00
751,1,1,445,2023-01-07 12:00:00
961,25,5,219,2023-01-07 13:00:00
320,31,1,328,2023-01-07 14:00:00
744,7,8,344,2023-01-07 15:00:00
460,17,1,133,2023-01-07 16:00:00
705,25,6,319,2023-01-07 17:00:00
660,27,5,461,2023-01-07 18:00:00
843,44,4,257,2023-01-07 19:00:00
635,46,4,199,2023-01-07 20:00:00
171,1,7,224,2023-01-07 21:00:00
293,15,4,230,2023-01-07 22:00:00
864,19,4,363,2023-01-07 23:00:00
514,29,1,159,2023-01-08 00:00:00
722,27,2,81,2023-01-08 01:00:00
229,23,3,438,2023-01-08 02:00:00
314,41,5,481,2023-01-08 03:00:00
779,9,5,15,2023-01-08 04:00:00
529,18,5,91,2023-01-08 05:00:00
316,14,3,388,2023-01-08 06:00:00
39,10,6,474,2023-01-08 07:00:00
967,44,6,167,2023-01-08 08:00:00
361,44,2,87,2023-01-08 09:00:00
448,7,8,71,2023-01-08 10:00:00
244,46,7,448,2023-01-08 11:00:00
130,18,4,391,2023-01-08 12:00:00
981,44,1,261,2023-01-08 13:00:00
121,40,9,273,2023-01-08 14:00:00
887,9,3,448,2023-01-08 15:00:00
652,10,8,36,2023-01-08 16:00:00
603,21,4,207,2023-01-08 17:00:00
220,23,8,74,2023-01-08 18:00:00
601,35,9,314,2023-01-08 19:00:00
604,29,6,147,2023-01-08 20:00:00
816,13,2,58,2023-01-08 21:00:00
