customernumber,event_name,category,subcategory
7278,fx_market,Finance,Loans
3486,hesap_acma,Banking,Account Opening
4970,kredi_basvuru,Finance,Loans
3352,fx_market,Finance,Loans
5893,borsa,Finance,Forex
9035,hesap_acma,Banking,Transfers
8172,fx_market,Finance,Stock Market
8948,hesap_acma,Banking,Account Opening
3176,hesap_acma,Banking,Savings
5324,kredi_basvuru,Finance,Forex
6287,fx_market,Finance,Loans
9952,kredi_basvuru,Finance,Loans
6005,hesap_acma,Banking,Transfers
5939,borsa,Finance,Forex
4092,fx_market,Finance,Stock Market
1520,kredi_basvuru,Finance,Stock Market
8310,borsa,Finance,Stock Market
9215,fx_market,Finance,Forex
4608,hesap_acma,Banking,Transfers
4836,fx_market,Finance,Loans
3577,borsa,Finance,Stock Market
2890,kredi_basvuru,Finance,Forex
2096,fx_market,Finance,Loans
6158,hesap_acma,Banking,Savings
3939,kredi_basvuru,Finance,Forex
4919,kredi_basvuru,Finance,Loans
9745,hesap_acma,Banking,Account Opening
6585,fx_market,Finance,Forex
7492,hesap_acma,Banking,Savings
5008,hesap_acma,Banking,Transfers
3827,kredi_basvuru,Finance,Stock Market
6506,borsa,Finance,Forex
6658,kredi_basvuru,Finance,Loans
3869,hesap_acma,Banking,Transfers
2521,hesap_acma,Banking,Savings
3904,borsa,Finance,Forex
9561,kredi_basvuru,Finance,Stock Market
4176,fx_market,Finance,Forex
7966,hesap_acma,Banking,Account Opening
4189,borsa,Finance,Forex
1106,kredi_basvuru,Finance,Loans
7359,kredi_basvuru,Finance,Forex
9616,fx_market,Finance,Forex
4888,fx_market,Finance,Loans
7802,fx_market,Finance,Stock Market
3716,fx_market,Finance,Stock Market
4352,fx_market,Finance,Loans
3796,fx_market,Finance,Loans
5780,fx_market,Finance,Loans
1686,borsa,Finance,Loans
8472,borsa,Finance,Forex
9563,fx_market,Finance,Loans
8801,kredi_basvuru,Finance,Forex
9759,fx_market,Finance,Forex
7580,hesap_acma,Banking,Transfers
5518,fx_market,Finance,Loans
1819,fx_market,Finance,Loans
6086,fx_market,Finance,Forex
5557,fx_market,Finance,Forex
2125,hesap_acma,Banking,Transfers
5205,kredi_basvuru,Finance,Stock Market
4864,fx_market,Finance,Stock Market
2016,kredi_basvuru,Finance,Loans
5958,fx_market,Finance,Loans
2551,hesap_acma,Banking,Savings
4392,fx_market,Finance,Stock Market
4309,hesap_acma,Banking,Savings
5914,borsa,Finance,Loans
1405,kredi_basvuru,Finance,Loans
1533,borsa,Finance,Stock Market
5003,kredi_basvuru,Finance,Forex
1366,borsa,Finance,Stock Market
6593,borsa,Finance,Stock Market
5938,fx_market,Finance,Stock Market
9114,fx_market,Finance,Loans
6926,kredi_basvuru,Finance,Loans
7267,fx_market,Finance,Stock Market
7895,fx_market,Finance,Stock Market
7405,hesap_acma,Banking,Account Opening
6022,hesap_acma,Banking,Account Opening
2070,fx_market,Finance,Stock Market
5779,borsa,Finance,Stock Market
1060,hesap_acma,Banking,Account Opening
3587,fx_market,Finance,Loans
4968,kredi_basvuru,Finance,Loans
9735,hesap_acma,Banking,Savings
1256,kredi_basvuru,Finance,Stock Market
1021,kredi_basvuru,Finance,Stock Market
5155,hesap_acma,Banking,Account Opening
5357,hesap_acma,Banking,Account Opening
3860,kredi_basvuru,Finance,Loans
5835,kredi_basvuru,Finance,Stock Market
3112,borsa,Finance,Stock Market
2795,kredi_basvuru,Finance,Loans
3546,borsa,Finance,Loans
7442,borsa,Finance,Stock Market
2370,fx_market,Finance,Stock Market
4063,borsa,Finance,Forex
7717,fx_market,Finance,Stock Market
2201,kredi_basvuru,Finance,Forex
4631,kredi_basvuru,Finance,Stock Market
9771,kredi_basvuru,Finance,Loans
7080,hesap_acma,Banking,Transfers
2838,hesap_acma,Banking,Account Opening
3072,hesap_acma,Banking,Account Opening
8385,hesap_acma,Banking,Transfers
5267,borsa,Finance,Stock Market
7814,kredi_basvuru,Finance,Forex
5797,borsa,Finance,Forex
3561,kredi_basvuru,Finance,Forex
6784,borsa,Finance,Stock Market
1327,hesap_acma,Banking,Account Opening
3631,fx_market,Finance,Stock Market
9587,hesap_acma,Banking,Savings
3679,kredi_basvuru,Finance,Stock Market
4265,hesap_acma,Banking,Account Opening
2496,borsa,Finance,Stock Market
3629,kredi_basvuru,Finance,Forex
3229,fx_market,Finance,Loans
2742,kredi_basvuru,Finance,Forex
9187,borsa,Finance,Loans
7225,hesap_acma,Banking,Transfers
