customernumber,notification_id,response_time,response_type
7275,1,48,opened
4868,2,31,dismissed
7321,3,43,ignored
1164,4,36,ignored
6872,5,43,dismissed
3247,6,59,dismissed
9729,7,59,opened
3675,8,19,opened
9863,9,55,ignored
4937,10,53,dismissed
8651,11,35,dismissed
3127,12,56,ignored
7859,13,8,dismissed
2329,14,53,dismissed
9168,15,60,opened
6911,16,47,ignored
2772,17,8,opened
8939,18,14,opened
2731,19,49,ignored
3514,20,6,dismissed
3251,21,38,ignored
3040,22,60,ignored
9743,23,32,dismissed
2688,24,10,ignored
2479,25,26,dismissed
9224,26,59,ignored
1929,27,33,opened
1408,28,28,opened
5806,29,34,dismissed
6740,30,41,dismissed
9448,31,23,ignored
6056,32,14,dismissed
9676,33,59,opened
7860,34,26,dismissed
8823,35,54,ignored
3163,36,13,dismissed
6355,37,8,ignored
3322,38,1,ignored
5972,39,22,dismissed
8763,40,12,ignored
2689,41,41,dismissed
1914,42,3,opened
9224,43,20,dismissed
9763,44,56,dismissed
6391,45,58,dismissed
8254,46,17,dismissed
3686,47,52,opened
6025,48,7,opened
3998,49,49,dismissed
9762,50,23,opened
7382,51,28,ignored
1539,52,3,ignored
2413,53,56,ignored
9665,54,8,opened
7230,55,13,opened
6513,56,45,dismissed
7030,57,33,ignored
9664,58,13,opened
1221,59,23,dismissed
3233,60,34,opened
9960,61,46,ignored
3352,62,47,dismissed
2383,63,37,dismissed
2839,64,60,dismissed
5790,65,51,dismissed
5066,66,23,ignored
6825,67,31,dismissed
4023,68,53,opened
1768,69,36,ignored
7497,70,58,ignored
4212,71,45,opened
7106,72,47,dismissed
7545,73,35,ignored
2962,74,8,dismissed
8164,75,28,dismissed
7521,76,22,ignored
5558,77,26,opened
8077,78,18,dismissed
7794,79,20,opened
3258,80,17,dismissed
7205,81,59,dismissed
2173,82,22,ignored
8040,83,22,opened
4381,84,3,opened
4386,85,24,opened
9781,86,17,opened
6693,87,5,opened
4292,88,16,ignored
8648,89,37,opened
5779,90,25,opened
3339,91,50,dismissed
4769,92,33,dismissed
1987,93,28,dismissed
7722,94,20,ignored
7549,95,4,dismissed
7453,96,1,dismissed
1768,97,6,opened
7831,98,35,ignored
3193,99,46,dismissed
7485,100,32,opened
9082,101,33,opened
5633,102,19,dismissed
5927,103,36,dismissed
8631,104,2,opened
8136,105,1,dismissed
6502,106,17,dismissed
1641,107,29,dismissed
2589,108,22,opened
3091,109,41,opened
1620,110,3,ignored
6445,111,4,ignored
4033,112,29,opened
4840,113,50,opened
1357,114,11,ignored
4042,115,49,dismissed
1676,116,26,ignored
6445,117,14,opened
7782,118,6,dismissed
1356,119,50,opened
1935,120,21,opened
3584,121,40,opened
6730,122,49,dismissed
5130,123,54,opened
9210,124,29,ignored
5947,125,27,opened
7923,126,36,ignored
3550,127,12,dismissed
4432,128,8,opened
7115,129,32,dismissed
6020,130,28,ignored
1360,131,45,opened
6564,132,43,opened
1022,133,27,dismissed
5019,134,51,dismissed
9825,135,22,opened
6755,136,11,ignored
4976,137,44,ignored
7030,138,24,dismissed
4446,139,27,dismissed
5746,140,18,ignored
1154,141,40,opened
9820,142,16,dismissed
7118,143,6,dismissed
9235,144,24,opened
5943,145,5,ignored
6640,146,40,opened
8135,147,48,dismissed
3118,148,6,dismissed
4026,149,25,opened
2420,150,41,opened
5420,151,46,ignored
5640,152,44,opened
5354,153,54,dismissed
8974,154,38,ignored
4619,155,51,opened
9087,156,13,ignored
3095,157,59,dismissed
