customernumber,category,subcategory,interest_count
6499,Finance,Stock Market,4
4630,Finance,Loans,4
8992,Finance,Stock Market,4
1942,Finance,Stock Market,4
3062,Finance,Forex,4
6329,Finance,Stock Market,4
9710,Finance,Stock Market,3
9282,Finance,Stock Market,3
7841,Finance,Forex,3
4620,Finance,Forex,3
6066,Finance,Forex,3
5971,Finance,Forex,3
8655,Finance,Forex,3
4092,Finance,Stock Market,3
5858,Finance,Loans,3
7603,Finance,Stock Market,3
2929,Banking,Transfers,3
9074,Finance,Forex,3
7122,Finance,Forex,3
6344,Finance,Stock Market,3
2253,Finance,Stock Market,3
7442,Finance,Stock Market,3
2251,Finance,Loans,3
4281,Finance,Forex,3
3550,Finance,Loans,3
2037,Finance,Loans,3
5964,Finance,Forex,3
1729,Finance,Forex,3
1559,Finance,Stock Market,3
5160,Finance,Forex,3
2291,Finance,Stock Market,3
8833,Finance,Loans,3
1831,Finance,Stock Market,3
6861,Finance,Forex,3
9172,Finance,Forex,3
6638,Finance,Stock Market,3
6013,Finance,Forex,3
7661,Finance,Forex,3
3924,Finance,Stock Market,3
8787,Finance,Forex,3
7802,Finance,Stock Market,3
2851,Finance,Forex,3
7646,Finance,Forex,3
9559,Finance,Forex,3
8793,Finance,Stock Market,3
1944,Finance,Loans,3
6286,Banking,Transfers,3
2340,Finance,Forex,3
1879,Finance,Forex,3
1878,Finance,Forex,3
1471,Finance,Loans,3
8711,Finance,Forex,3
9793,Finance,Loans,3
8810,Finance,Forex,3
7818,Finance,Loans,3
6581,Finance,Forex,3
7196,Finance,Stock Market,3
3413,Finance,Stock Market,3
6580,Finance,Loans,3
5748,Finance,Forex,3
3077,Finance,Forex,3
4720,Finance,Loans,3
9992,Finance,Forex,3
3302,Finance,Loans,3
2193,Finance,Loans,3
9460,Finance,Forex,3
5674,Finance,Forex,3
3745,Finance,Stock Market,3
2685,Finance,Stock Market,3
2613,Finance,Forex,3
1049,Finance,Forex,3
6774,Finance,Forex,3
9011,Finance,Forex,3
9335,Finance,Forex,3
8167,Finance,Loans,3
9451,Finance,Forex,3
4936,Finance,Loans,3
8577,Finance,Forex,3
7433,Finance,Loans,3
2958,Finance,Loans,3
8153,Banking,Savings,2
9147,Finance,Stock Market,2
6420,Finance,Forex,2
5009,Finance,Forex,2
3037,Finance,Stock Market,2
7158,Finance,Loans,2
4148,Finance,Loans,2
1953,Finance,Loans,2
9168,Finance,Stock Market,2
9141,Finance,Loans,2
4888,Finance,Loans,2
2076,Finance,Forex,2
9121,Banking,Account Opening,2
4907,Finance,Loans,2
1946,Finance,Stock Market,2
9134,Finance,Loans,2
9131,Finance,Loans,2
4128,Finance,Forex,2
3123,Finance,Loans,2
3122,Finance,Forex,2
2077,Finance,Stock Market,2
2073,Finance,Stock Market,2
4995,Finance,Forex,2
3128,Finance,Loans,2
2109,Finance,Stock Market,2
9160,Finance,Loans,2
8162,Finance,Loans,2
5019,Finance,Loans,2
6436,Finance,Loans,2
9154,Finance,Stock Market,2
8179,Finance,Forex,2
3146,Finance,Loans,2
8052,Finance,Stock Market,2
6310,Finance,Stock Market,2
2110,Finance,Loans,2
9011,Finance,Loans,2
8055,Finance,Forex,2
6318,Finance,Loans,2
1941,Finance,Stock Market,2
3023,Finance,Forex,2
1926,Finance,Loans,2
3144,Finance,Loans,2
4202,Finance,Forex,2
4898,Finance,Loans,2
4900,Finance,Loans,2
2095,Finance,Loans,2
8063,Finance,Forex,2
4214,Finance,Forex,2
4212,Banking,Savings,2
4189,Banking,Transfers,2
1972,Finance,Stock Market,2
4966,Finance,Stock Market,2
9088,Finance,Loans,2
6364,Finance,Loans,2
6297,Finance,Stock Market,2
9080,Banking,Savings,2
7124,Finance,Stock Market,2
4200,Finance,Forex,2
9078,Finance,Loans,2
6403,Finance,Stock Market,2
3070,Finance,Forex,2
4192,Finance,Forex,2
2048,Finance,Forex,2
8126,Finance,Stock Market,2
3069,Banking,Transfers,2
7117,Banking,Transfers,2
2035,Banking,Transfers,2
8116,Finance,Forex,2
2036,Finance,Forex,2
4943,Finance,Loans,2
4943,Banking,Savings,2
9063,Finance,Loans,2
4189,Finance,Forex,2
4938,Finance,Loans,2
7115,Finance,Forex,2
2005,Finance,Loans,2
6360,Finance,Loans,2
7146,Finance,Loans,2
4967,Banking,Transfers,2
4916,Finance,Forex,2
1979,Finance,Loans,2
6386,Finance,Loans,2
3105,Finance,Forex,2
9041,Finance,Loans,2
9111,Finance,Forex,2
6404,Finance,Stock Market,2
1986,Finance,Stock Market,2
8087,Banking,Account Opening,2
4917,Finance,Loans,2
8087,Finance,Loans,2
2064,Finance,Stock Market,2
1988,Finance,Stock Market,2
3099,Banking,Savings,2
4200,Finance,Loans,2
6350,Finance,Loans,2
4919,Finance,Loans,2
1994,Finance,Forex,2
9046,Finance,Stock Market,2
4975,Finance,Forex,2
6354,Finance,Forex,2
9093,Finance,Stock Market,2
4169,Finance,Stock Market,2
4163,Finance,Forex,2
5044,Finance,Forex,2
9173,Finance,Stock Market,2
7950,Finance,Forex,2
3263,Finance,Stock Market,2
9318,Finance,Stock Market,2
1723,Finance,Forex,2
9323,Finance,Stock Market,2
1719,Finance,Loans,2
5164,Finance,Stock Market,2
7949,Finance,Stock Market,2
1733,Finance,Loans,2
1714,Banking,Transfers,2
6185,Banking,Savings,2
7949,Finance,Forex,2
6182,Finance,Stock Market,2
4055,Finance,Forex,2
7249,Finance,Stock Market,2
7953,Finance,Loans,2
5155,Banking,Account Opening,2
6222,Finance,Stock Market,2
7968,Banking,Account Opening,2
6218,Finance,Loans,2
6215,Banking,Transfers,2
1772,Finance,Forex,2
6213,Finance,Forex,2
1768,Finance,Loans,2
3244,Finance,Stock Market,2
6202,Finance,Forex,2
4061,Finance,Loans,2
3254,Banking,Account Opening,2
3254,Finance,Loans,2
4063,Finance,Forex,2
3256,Finance,Loans,2
5149,Finance,Forex,2
1744,Finance,Loans,2
6177,Banking,Transfers,2
4046,Finance,Forex,2
3276,Finance,Stock Market,2
3999,Finance,Forex,2
7895,Finance,Forex,2
9412,Finance,Loans,2
9415,Finance,Forex,2
9419,Banking,Transfers,2
4002,Finance,Stock Market,2
7888,Finance,Loans,2
7887,Banking,Account Opening,2
7937,Finance,Forex,2
3334,Banking,Savings,2
3334,Finance,Stock Market,2
9423,Banking,Account Opening,2
1635,Banking,Transfers,2
6125,Finance,Loans,2
3998,Finance,Stock Market,2
4012,Finance,Loans,2
7276,Finance,Loans,2
4015,Banking,Account Opening,2
7276,Finance,Forex,2
1660,Finance,Loans,2
3311,Finance,Stock Market,2
4017,Finance,Stock Market,2
5216,Finance,Stock Market,2
7910,Finance,Stock Market,2
1669,Finance,Stock Market,2
3298,Finance,Loans,2
5203,Finance,Stock Market,2
9378,Finance,Forex,2
3293,Finance,Loans,2
9371,Banking,Account Opening,2
7263,Finance,Stock Market,2
3288,Finance,Stock Market,2
7976,Banking,Savings,2
