customernumber,Top Categories,Total Interactions
1000,"[['Banking', 'Account Opening'], ['Finance', 'Loans']]",2
1001,"[['Banking', 'Savings']]",1
1004,"[['Banking', 'Transfers'], ['Finance', 'Stock Market']]",2
1006,"[['Finance', 'Loans'], ['Finance', 'Stock Market']]",2
1008,"[['Banking', 'Savings']]",1
1009,"[['Finance', 'Forex']]",1
1010,"[['Finance', 'Forex'], ['Finance', 'Stock Market']]",2
1011,"[['Finance', 'Forex'], ['Finance', 'Loans'], ['Finance', 'Stock Market']]",3
1012,"[['Finance', 'Stock Market']]",1
1014,"[['Banking', 'Transfers'], ['Banking', 'Savings'], ['Finance', 'Forex']]",4
1015,"[['Finance', 'Loans']]",1
1016,"[['Finance', 'Loans']]",1
1017,"[['Finance', 'Loans'], ['Finance', 'Stock Market']]",2
1021,"[['Banking', 'Transfers'], ['Finance', 'Forex'], ['Finance', 'Loans']]",3
1022,"[['Banking', 'Savings']]",1
1023,"[['Finance', 'Loans']]",2
1028,"[['Banking', 'Transfers']]",1
1030,"[['Finance', 'Loans']]",1
1032,"[['Finance', 'Stock Market']]",1
1035,"[['Banking', 'Account Opening']]",1
1036,"[['Finance', 'Forex']]",1
1037,"[['Banking', 'Account Opening'], ['Banking', 'Transfers'], ['Finance', 'Stock Market']]",3
1038,"[['Finance', 'Stock Market']]",1
1039,"[['Finance', 'Stock Market']]",1
1041,"[['Finance', 'Forex']]",1
1042,"[['Finance', 'Stock Market']]",1
1043,"[['Banking', 'Account Opening']]",1
1044,"[['Finance', 'Loans']]",1
1046,"[['Banking', 'Savings']]",1
1047,"[['Finance', 'Stock Market']]",2
1048,"[['Finance', 'Stock Market']]",2
1049,"[['Finance', 'Forex'], ['Finance', 'Stock Market']]",4
1050,"[['Banking', 'Savings'], ['Finance', 'Stock Market']]",2
1051,"[['Finance', 'Stock Market']]",2
1052,"[['Finance', 'Forex']]",1
1053,"[['Finance', 'Stock Market']]",1
1056,"[['Banking', 'Savings']]",1
1057,"[['Finance', 'Forex']]",1
1058,"[['Finance', 'Loans']]",1
1059,"[['Finance', 'Stock Market']]",1
1060,"[['Banking', 'Account Opening']]",1
1063,"[['Finance', 'Loans']]",2
1064,"[['Banking', 'Transfers'], ['Finance', 'Loans'], ['Finance', 'Stock Market']]",4
1065,"[['Finance', 'Loans']]",2
1066,"[['Finance', 'Forex']]",1
1067,"[['Banking', 'Savings'], ['Banking', 'Transfers']]",2
1068,"[['Finance', 'Stock Market']]",1
1069,"[['Finance', 'Loans']]",1
1070,"[['Finance', 'Loans']]",1
1072,"[['Finance', 'Forex']]",1
1074,"[['Banking', 'Account Opening']]",1
1077,"[['Finance', 'Stock Market']]",1
1078,"[['Finance', 'Forex']]",1
1079,"[['Finance', 'Stock Market'], ['Banking', 'Transfers'], ['Finance', 'Forex']]",4
1080,"[['Banking', 'Savings']]",1
1081,"[['Finance', 'Loans']]",1
1082,"[['Finance', 'Forex']]",2
1084,"[['Finance', 'Loans']]",1
1088,"[['Banking', 'Savings']]",1
1089,"[['Finance', 'Stock Market']]",1
1090,"[['Finance', 'Stock Market']]",1
1091,"[['Banking', 'Transfers'], ['Finance', 'Forex']]",2
1092,"[['Banking', 'Transfers'], ['Finance', 'Loans']]",2
1093,"[['Finance', 'Forex']]",1
1094,"[['Finance', 'Forex']]",1
1096,"[['Banking', 'Account Opening'], ['Finance', 'Forex']]",2
1098,"[['Banking', 'Account Opening']]",1
1099,"[['Finance', 'Forex']]",1
1100,"[['Finance', 'Forex'], ['Banking', 'Account Opening'], ['Banking', 'Transfers']]",4
1101,"[['Finance', 'Forex']]",1
1102,"[['Banking', 'Account Opening'], ['Finance', 'Forex'], ['Finance', 'Stock Market']]",3
1105,"[['Finance', 'Forex']]",1
1106,"[['Finance', 'Forex'], ['Finance', 'Loans']]",2
1107,"[['Banking', 'Transfers'], ['Finance', 'Stock Market']]",2
1108,"[['Finance', 'Forex'], ['Finance', 'Loans']]",2
1109,"[['Banking', 'Account Opening'], ['Finance', 'Stock Market']]",2
1110,"[['Finance', 'Loans']]",2
1111,"[['Banking', 'Transfers']]",1
1112,"[['Finance', 'Stock Market']]",1
1113,"[['Finance', 'Loans']]",1
1114,"[['Finance', 'Loans']]",1
1116,"[['Banking', 'Transfers']]",1
1120,"[['Banking', 'Account Opening']]",1
1121,"[['Banking', 'Account Opening'], ['Finance', 'Forex'], ['Finance', 'Loans']]",3
1122,"[['Finance', 'Forex'], ['Finance', 'Stock Market']]",2
1123,"[['Finance', 'Forex']]",1
1124,"[['Finance', 'Forex']]",1
1125,"[['Finance', 'Loans']]",1
